url_path,views_total,views_unique
/floneum/floneum,428,242
/floneum/floneum/tree/main/interfaces/kalosm,139,89
/floneum/floneum/releases/tag/v0.2.0,74,44
/floneum/floneum/issues,60,22
/floneum/floneum/tree/main/floneum/floneum,59,42
/floneum/floneum/tree/main/interfaces/kalosm/examples,53,35
/floneum/floneum/tree/main,43,29
/floneum/floneum/tree/main/models,36,17
/floneum/floneum/blob/main/interfaces/kalosm/examples/transcribe.rs,31,20
/floneum/floneum/blob/main/interfaces/kalosm/examples/chat.rs,30,16
