label,correct,total,sampler_time,constraint_time,parser_time,transformer_time,trie_time,total_time,average_entropy,average_entropy_diff,average_tokenization_error,average_tokens_after_first_token_error,average_token_count,total_duration
all,33,270,0,5,0,783,1,1093,4.034736079411672,4.211143832652239,0.4940981245499233,7.632925263784088,58.99378502770907,69832427
fast,16,135,0,0,0,802,1,1085,4.112384675899229,4.172282779088034,0,0,59.01783720064524,34998864
slow,17,135,0,9,1,764,2,1100,3.955629823284417,4.250734406026218,0.9974717148094305,15.40913975096391,58.96928133493458,34833563
fast-smol-lm,2,27,0,0,0,425,2,556,4.445635782219353,1.9784939850484882,0,0,63.951788605917855,7565029
slow-smol-lm,0,27,0,3,0,445,2,601,3.7581447188160713,2.0167184153394015,0.9972259709101814,15.646348777927725,64.48815414604888,8029446
fast-qwen1.5b,2,27,0,1,0,970,1,1372,4.399114598213404,4.894658114051878,0,0,57.59577567370721,7535099
slow-qwen1.5b,3,27,0,13,1,941,1,1476,4.463969309706838,5.502490352022311,1,8.42763561924258,62.086386898669396,7213098
fast-qwen3b,5,27,0,1,0,1592,1,2033,3.2157604032363247,8.015274991986981,0,0,59.34633710541989,6829846
slow-qwen3b,4,27,0,18,1,1396,1,1906,3.479112210487155,7.337289185189802,0.9959105779716467,22.21319520174482,59.50845147219193,6992724
fast-qwen7b,6,27,0,0,0,2897,0,3214,2.6922133147366076,13.588646212819643,0,0,43.97830474268416,6370964
slow-qwen7b,9,27,0,9,0,2827,1,3209,2.752335222691198,14.715666511595197,0.9890710382513661,10.452459016393442,45.20109289617486,5873428
fast-qwen0.5b,1,27,0,0,0,470,1,856,4.077001416959797,3.4392985170811317,0,0,55.11435149654643,6697924
slow-qwen0.5b,1,27,0,15,1,422,1,848,4.4733313325702495,3.3935407189196436,0.998990026511804,17.30968312081808,50.685014518368895,6724864
